IP;Port;Nom de domaine;SNI;Cle Publique;Date Expiration;Certificat;SHA-256
105.235.13.1;443/tcp;ns2.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.5;443/tcp;partenaires.mobilemoney.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.21;443/tcp;partnermobilemoney.mtn.ci;partnermobilemoney.mtn.ci/organizationName=MOBILE;rsa (2048 bits);2026-11-02;VALIDE ✅;N/A21ef5a72525f71792c1e2667473f92aeb3d29d66e46ee38745f16f316c194ea2
196.47.188.134;443/tcp;passwordregistration.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;pibceao.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
108.139.200.14;443/tcp;promo.esport.mtn.ci;promo.esport.mtn.ci;rsa (2048 bits);2026-12-21;VALIDE ✅;N/A0e2b642db1a763a07c520f9e375a1a266c9edd5a09774bb141bbaa617b3beeea
196.47.178.88;443/tcp;selfaccess.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.201.33.100;443/tcp;servicesplus.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;servicex.mtn.ci;*.mtn.ci/organizationName=MOBILE;rsa (2048 bits);2026-11-26;VALIDE ✅;N/A1c743c3853effb4e98c3b6df6fe0607e7db49f849a76dfa6a67d35155b308554
105.235.121.171;443/tcp;sharing.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
105.235.67.102;443/tcp;sip-02.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
102.133.203.248;443/tcp;sm.mtn.ci;sm.mtn.ci/organizationName=MOBILE;rsa (2048 bits);2026-10-16;VALIDE ✅;N/Af614600d463fa9ca170f0f1b249c01733c8dc76a32349ef790d966a83705a399
196.47.178.103;443/tcp;smspro.mtn.ci;*.mtn.ci/organizationName=MOBILE;rsa (2048 bits);2026-11-26;VALIDE ✅;N/A1c743c3853effb4e98c3b6df6fe0607e7db49f849a76dfa6a67d35155b308554
196.47.178.65;443/tcp;smtp.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.6;443/tcp;sqldb.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;staffmeeting.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.68;443/tcp;stats.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
105.235.5.18;443/tcp;svr-sdpgwbi-01.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
105.235.5.19;443/tcp;svr-sdpgwbi-02.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.42;443/tcp;svr-sdpgwtc-01.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.43;443/tcp;svr-sdpgwtc-02.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.47;443/tcp;svr-sdpgwya-02.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.48;443/tcp;svr-sdpgwyp-01.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.49;443/tcp;svr-sdpgwyp-02.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.131;443/tcp;tas.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;top10.mtn.ci;*.mtn.ci/organizationName=MOBILE;rsa (2048 bits);2026-11-26;VALIDE ✅;N/A1c743c3853effb4e98c3b6df6fe0607e7db49f849a76dfa6a67d35155b308554
159.100.19.13;443/tcp;tournament.mtn.ci;tournament.mtn.ci;rsa (2048 bits);2026-09-25;VALIDE ✅;N/A2069a768ab5787ccb52007c483c42e3c4de97746cf7c8c4d517332e102f6cf06
196.47.188.131;443/tcp;trombino.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.184.93;443/tcp;upc.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.184.10;443/tcp;vascloud.mtn.ci;*.mtn.ci/organizationName=MOBILE;rsa (2048 bits);2025-07-08;VALIDE ✅;N/Adb65a1237e8366c03a3325f4a7ff9e6b4ee30de30c2de382b3b3b18957a0f6b0
105.235.109.173;443/tcp;vms.standardpro.mtn.ci;*.mtn.ci/organizationName=MOBILE;rsa (2048 bits);2026-06-23;VALIDE ✅;N/Aa55dd943973f1391becb16111431550749751fda7a9690b72b05220164c497de
105.235.109.172;443/tcp;vmsstaging-standardpro.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.81;443/tcp;webconf.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.65;443/tcp;webmail.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.134;443/tcp;www.demo.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
52.85.118.99;443/tcp;www.esport.mtn.ci;www.esport.mtn.ci;rsa (2048 bits);2026-11-09;VALIDE ✅;N/Ac4875d16093a60b36c3513dcef0696de28128adee69eadb16af78d29d6e4ab48
162.159.135.42;443/tcp;www.mtn.ci;mtn.ci;rsa (256 bits);2026-09-05;VALIDE ✅;N/Abe04a542879163b1bcef4cac6792a6933b133f5037a7e6b7775b3b610173a65c
159.100.19.13;443/tcp;www.tournament.mtn.ci;tournament.mtn.ci;rsa (2048 bits);2026-09-25;VALIDE ✅;N/A2069a768ab5787ccb52007c483c42e3c4de97746cf7c8c4d517332e102f6cf06
196.47.188.134;443/tcp;wwwdr.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
105.235.121.171;443/tcp;yellotv.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
GLOBAL;SCAN NMAP;Sous-domaines MTN;Total: 108 IP;Statut: Termine;Rapport: Correction effectuee;;
